arch,freshness,latency_ms,jitter_ms,packet_loss,bandwidth_mbps,num_queries,failures,recall_at_10,latency_p50_ms,latency_p95_ms,latency_p99_ms
hnsw,partial,20.0,5.0,0.0,100.0,5000,0,0.74408,0.4579,0.6042,0.726
hnsw,stale,20.0,5.0,0.0,100.0,5000,0,0.73532,0.4609,0.639,0.792
ivf,fresh,20.0,5.0,0.0,100.0,5000,0,0.95954,0.453,0.6173,0.8128
ivf,partial,20.0,5.0,0.0,100.0,5000,0,0.74408,0.459,0.6827,0.9709
ivf,stale,20.0,5.0,0.0,100.0,5000,0,0.73532,0.4606,0.6214,0.8283
hnsw,fresh,20.0,5.0,0.0,10.0,5000,0,0.95954,0.4606,0.6406,0.8223
hnsw,partial,20.0,5.0,0.0,10.0,5000,0,0.74408,0.4559,0.6469,0.969
hnsw,stale,20.0,5.0,0.0,10.0,5000,0,0.73532,0.4597,0.6476,0.8705
ivf,fresh,20.0,5.0,0.0,10.0,5000,0,0.95954,0.4559,0.655,1.0062
ivf,partial,20.0,5.0,0.0,10.0,5000,0,0.74408,0.4563,0.6113,0.7877
ivf,stale,20.0,5.0,0.0,10.0,5000,0,0.73532,0.4601,0.6156,0.7513
hnsw,fresh,20.0,5.0,0.001,1000.0,5000,0,0.95954,0.4708,0.6528,0.8409
hnsw,partial,20.0,5.0,0.001,1000.0,5000,0,0.74408,0.474,0.6683,0.8285
hnsw,stale,20.0,5.0,0.001,1000.0,5000,0,0.73532,0.5136,0.7592,1.0658
ivf,fresh,20.0,5.0,0.001,1000.0,5000,0,0.95954,0.4714,0.64,0.8364
ivf,partial,20.0,5.0,0.001,1000.0,5000,0,0.74408,0.4742,0.6714,0.9063
ivf,stale,20.0,5.0,0.001,1000.0,5000,0,0.73532,0.4714,0.6349,0.7649
hnsw,fresh,20.0,5.0,0.001,100.0,5000,0,0.95954,0.4838,0.6692,0.8829
hnsw,partial,20.0,5.0,0.001,100.0,5000,0,0.74408,0.4764,0.6597,0.8522
hnsw,stale,20.0,5.0,0.001,100.0,5000,0,0.73532,0.4668,0.6495,0.8855
ivf,fresh,20.0,5.0,0.001,100.0,5000,0,0.95954,0.4578,0.596,0.7317
ivf,partial,20.0,5.0,0.001,100.0,5000,0,0.74408,0.4623,0.6216,0.771
ivf,stale,20.0,5.0,0.001,100.0,5000,0,0.73532,0.4566,0.6254,0.8593
hnsw,fresh,20.0,5.0,0.001,10.0,5000,0,0.95954,0.461,0.6275,0.8416
hnsw,partial,20.0,5.0,0.001,10.0,5000,0,0.74408,0.4597,0.6125,0.7537
hnsw,stale,20.0,5.0,0.001,10.0,5000,0,0.73532,0.4594,0.6127,0.7188
ivf,fresh,20.0,5.0,0.001,10.0,5000,0,0.95954,0.464,0.6185,0.7806
ivf,partial,20.0,5.0,0.001,10.0,5000,0,0.74408,0.4616,0.6123,0.7572
ivf,stale,20.0,5.0,0.001,10.0,5000,0,0.73532,0.4613,0.6311,0.793
hnsw,fresh,20.0,5.0,0.01,1000.0,5000,0,0.95954,0.4621,0.6585,0.89
hnsw,partial,20.0,5.0,0.01,1000.0,5000,0,0.74408,0.4572,0.6006,0.7289
hnsw,stale,20.0,5.0,0.01,1000.0,5000,0,0.73532,0.4804,0.6685,0.8888
ivf,fresh,20.0,5.0,0.01,1000.0,5000,0,0.95954,0.5145,0.8056,1.0553
ivf,partial,20.0,5.0,0.01,1000.0,5000,0,0.74408,0.5028,0.7167,0.8719
ivf,stale,20.0,5.0,0.01,1000.0,5000,0,0.73532,0.4932,0.6945,0.9799
hnsw,fresh,20.0,5.0,0.01,100.0,5000,0,0.95954,0.4795,0.6538,0.8631
hnsw,partial,20.0,5.0,0.01,100.0,5000,0,0.74408,0.4871,0.7069,1.015
hnsw,stale,20.0,5.0,0.01,100.0,5000,0,0.73532,0.484,0.6495,0.772
ivf,fresh,20.0,5.0,0.01,100.0,5000,0,0.95954,0.4969,0.6869,0.9935
ivf,partial,20.0,5.0,0.01,100.0,5000,0,0.74408,0.5012,0.6497,0.7792
ivf,stale,20.0,5.0,0.01,100.0,5000,0,0.73532,0.4961,0.6921,0.9022
hnsw,fresh,20.0,5.0,0.01,10.0,5000,0,0.95954,0.5083,0.7277,1.0258
hnsw,partial,20.0,5.0,0.01,10.0,5000,0,0.74408,0.4951,0.711,0.9957
hnsw,stale,20.0,5.0,0.01,10.0,5000,0,0.73532,0.5051,0.702,0.9015
ivf,fresh,20.0,5.0,0.01,10.0,5000,0,0.95954,0.49,0.7122,0.9556
ivf,partial,20.0,5.0,0.01,10.0,5000,0,0.74408,0.4928,0.7069,1.0036
ivf,stale,20.0,5.0,0.01,10.0,5000,0,0.73532,0.5167,0.7463,1.0278
